mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
11.03065284093221,5.571567602248964,14.111934423446655,1.7142432316050553,300,100,50,sqrt,10,"{'n_estimators': 300, 'min_samples_split': 100, 'min_samples_leaf': 50, 'max_features': 'sqrt', 'max_depth': 10}",0.20874418943909245,0.20932484940427618,0.19653469948210037,0.20486791277515634,0.005897238016759216,2
17.85892081260681,8.994610997213595,12.123335043589273,1.5972544856630515,300,50,25,,5,"{'n_estimators': 300, 'min_samples_split': 50, 'min_samples_leaf': 25, 'max_features': None, 'max_depth': 5}",0.20289676456899952,0.2002251599720233,0.18810683786385396,0.1970762541349589,0.006435432591723111,13
49.061642011006676,0.6339743922820054,7.284182627995809,0.6313433123123068,500,250,50,,,"{'n_estimators': 500, 'min_samples_split': 250, 'min_samples_leaf': 50, 'max_features': None, 'max_depth': None}",0.20570571022220968,0.19996084899187838,0.19436050688652803,0.20000902203353868,0.004631785124797824,11
34.17705941200256,1.0381753886347318,8.175655444463095,0.27441659495189585,500,100,50,,5,"{'n_estimators': 500, 'min_samples_split': 100, 'min_samples_leaf': 50, 'max_features': None, 'max_depth': 5}",0.20392933021438037,0.2010882998990745,0.189502227677496,0.19817328593031694,0.006240101587366591,12
23.35628382364909,0.39090148049511697,11.38513445854187,0.43707484108467726,300,50,25,log2,,"{'n_estimators': 300, 'min_samples_split': 50, 'min_samples_leaf': 25, 'max_features': 'log2', 'max_depth': None}",0.2047088591074091,0.2074788232789564,0.1933924106649064,0.20186003101709063,0.006093363668749656,9
34.65524546305338,1.1828924729120964,8.437495628992716,0.44419542428225006,500,100,25,,5,"{'n_estimators': 500, 'min_samples_split': 100, 'min_samples_leaf': 25, 'max_features': None, 'max_depth': 5}",0.20391691726259728,0.1995532812403542,0.18671903890779806,0.19672974580358318,0.007299361581610826,15
23.121462027231853,6.156749072098423,10.978827238082886,3.753015011811206,200,50,50,,10,"{'n_estimators': 200, 'min_samples_split': 50, 'min_samples_leaf': 50, 'max_features': None, 'max_depth': 10}",0.20184535238097015,0.19641580534749822,0.19027541976177217,0.19617885916341352,0.004726375836643377,16
28.044482787450153,2.3295303905021263,4.019787073135376,0.9859543127781308,300,100,100,,12,"{'n_estimators': 300, 'min_samples_split': 100, 'min_samples_leaf': 100, 'max_features': None, 'max_depth': 12}",0.20047782625323368,0.19475686902912717,0.19184754248437333,0.19569407925557805,0.0035850822156250667,17
13.820954958597818,0.5818486399745345,7.078720410664876,0.6471392712308394,200,50,100,sqrt,12,"{'n_estimators': 200, 'min_samples_split': 50, 'min_samples_leaf': 100, 'max_features': 'sqrt', 'max_depth': 12}",0.20731479885527415,0.21026778628667808,0.196929525891755,0.2048373703445691,0.005720171128555171,3
18.634372393290203,0.4019576813661602,4.258652289708455,0.28383129358802145,500,100,100,log2,12,"{'n_estimators': 500, 'min_samples_split': 100, 'min_samples_leaf': 100, 'max_features': 'log2', 'max_depth': 12}",0.2081260277939457,0.20923489205576432,0.19672547355353123,0.20469546446774708,0.005653787012100653,5
12.28744395573934,0.989125113417667,4.26326338450114,1.9025529362613538,200,250,25,sqrt,5,"{'n_estimators': 200, 'min_samples_split': 250, 'min_samples_leaf': 25, 'max_features': 'sqrt', 'max_depth': 5}",0.21019456349242804,0.20914412841826768,0.1953625629908564,0.2049004183005174,0.0067579023566132195,1
11.813783248265585,0.12310698576246053,2.0108300050099692,0.5547076409518297,200,50,50,sqrt,8,"{'n_estimators': 200, 'min_samples_split': 50, 'min_samples_leaf': 50, 'max_features': 'sqrt', 'max_depth': 8}",0.20841588900701258,0.20949422735202192,0.19584170705832105,0.2045839411391185,0.006197348677145302,6
50.79045557975769,3.0305181302243525,1.3265637556711833,1.3207279757457617,500,100,50,,12,"{'n_estimators': 500, 'min_samples_split': 100, 'min_samples_leaf': 50, 'max_features': None, 'max_depth': 12}",0.20148011108489258,0.19506198206621947,0.19046000815172012,0.19566736710094404,0.004519257715202828,19
9.64738162358602,0.314682364139439,13.898881276448568,1.2860228622319105,200,100,25,,5,"{'n_estimators': 200, 'min_samples_split': 100, 'min_samples_leaf': 25, 'max_features': None, 'max_depth': 5}",0.20390890094071462,0.2003296908510726,0.18641878664303616,0.19688579281160778,0.007544152252623059,14
16.56620732943217,1.2357652749110137,14.982643842697144,0.6435341335056391,500,50,100,log2,10,"{'n_estimators': 500, 'min_samples_split': 50, 'min_samples_leaf': 100, 'max_features': 'log2', 'max_depth': 10}",0.20646767301425814,0.20930664318207304,0.19715276790897912,0.20430902803510342,0.005191273584776881,7
24.336008310317993,0.26353692481143703,10.567718187967936,0.3628524483667684,200,250,50,,8,"{'n_estimators': 200, 'min_samples_split': 250, 'min_samples_leaf': 50, 'max_features': None, 'max_depth': 8}",0.2060375888114978,0.19994631914854594,0.1943019626966883,0.20009529021891068,0.004792207171474947,10
26.91991877555847,1.4237364791725047,10.0686141649882,0.5245293014590737,500,250,100,log2,,"{'n_estimators': 500, 'min_samples_split': 250, 'min_samples_leaf': 100, 'max_features': 'log2', 'max_depth': None}",0.20696333365472713,0.20962963242486513,0.19765202701407664,0.20474833103122295,0.005134551931813536,4
32.15200734138489,0.8506792262330066,8.066571394602457,0.7602923062780677,500,50,250,,5,"{'n_estimators': 500, 'min_samples_split': 50, 'min_samples_leaf': 250, 'max_features': None, 'max_depth': 5}",0.19727899052445572,0.18918357841252362,0.1764352346424921,0.18763260119315714,0.008579809149702123,20
30.606550693511963,5.404474868591421,3.7921990553538003,2.555504973836337,300,100,100,,,"{'n_estimators': 300, 'min_samples_split': 100, 'min_samples_leaf': 100, 'max_features': None, 'max_depth': None}",0.20047647749335834,0.1947558178484967,0.1918389185458913,0.19569040462924878,0.0035876589842411526,18
13.44987154006958,1.0843090984398336,4.144393603006999,0.5816770596279008,300,50,100,log2,5,"{'n_estimators': 300, 'min_samples_split': 50, 'min_samples_leaf': 100, 'max_features': 'log2', 'max_depth': 5}",0.20741524556746588,0.2082854002432897,0.19532047030643024,0.2036737053723953,0.005917301994457464,8
